Owner Gaia Id,Item Id,Conference Id,Item Type,Meeting Code,Event Id,Thread Id,Inbox Id,Call Direction,Start Time,End Time,Duration,Direct Call Result,Participation State,Call Counterparts,Meeting Media Type,Start Time (IST),Start Time Date Shifted,End Time (IST),End Time Date Shifted
100000000001,70bdf534-ba8e-4dbf-8d92-4ed66c5e9ae0,conf_e7cbe70dd3a241459fa05b94c31d7f7c,meet:meeting,dev-sync-team,,thread_70bdf534-ba8e-4dbf-8d92-4ed66c5e9ae0,meet,,2024-03-01 16:10:43 UTC,2024-03-01 17:38:45 UTC,1:28:02,,PARTICIPATED,,,2024-03-01 21:40:43 IST,False,2024-03-01 23:08:45 IST,False
100000000001,d8120984-79bb-4605-b063-6e3eb6d602da,conf_335aa0b0b5984084b597343ce5e7b274,meet:meeting,abc-defg-hij,,thread_d8120984-79bb-4605-b063-6e3eb6d602da,meet,,2024-03-07 17:25:50 UTC,2024-03-07 18:47:39 UTC,1:21:49,,PARTICIPATED,,,2024-03-07 22:55:50 IST,False,2024-03-08 00:17:39 IST,False
100000000001,8d2954f5-84a6-4ba6-8319-308455f76fc1,conf_23b1eaea5b614505a76e8774d82393f8,meet:meeting,rst-uvwx-yza,,thread_8d2954f5-84a6-4ba6-8319-308455f76fc1,meet,,2024-03-13 15:04:55 UTC,2024-03-13 16:09:53 UTC,1:04:58,,PARTICIPATED,,,2024-03-13 20:34:55 IST,False,2024-03-13 21:39:53 IST,False
100000000001,e7fc0aa9-1b1e-494d-b7ac-f26703a24f13,conf_663fb8e5ec3e470989cf4d65df4c640a,meet:meeting,dev-sync-team,,thread_e7fc0aa9-1b1e-494d-b7ac-f26703a24f13,meet,,2024-03-20 20:08:58 UTC,2024-03-20 20:30:48 UTC,0:21:50,,PARTICIPATED,,,2024-03-21 01:38:58 IST,False,2024-03-21 02:00:48 IST,False
100000000001,eb2ab2bb-2605-4d32-9dd4-db8e5e656077,conf_4c7c6ec01e93468bbb457b36b6e81995,meet:meeting,kmn-prqt-wxy,,thread_eb2ab2bb-2605-4d32-9dd4-db8e5e656077,meet,,2024-03-26 18:22:26 UTC,2024-03-26 18:59:09 UTC,0:36:43,,PARTICIPATED,,,2024-03-26 23:52:26 IST,False,2024-03-27 00:29:09 IST,False
100000000001,38e66475-770e-412d-b81f-f99d24095201,conf_5cc472e3cad24fd4b86333e60519e606,meet:meeting,kmn-prqt-wxy,,thread_38e66475-770e-412d-b81f-f99d24095201,meet,,2024-03-31 15:37:38 UTC,2024-03-31 17:02:05 UTC,1:24:27,,PARTICIPATED,,,2024-03-31 21:07:38 IST,False,2024-03-31 22:32:05 IST,False
100000000001,f112fd1e-a749-4d6f-a1e4-4f6e7fd2af53,conf_f0b5d8f3da524dc6b9b7d00877869917,meet:meeting,abc-defg-hij,,thread_f112fd1e-a749-4d6f-a1e4-4f6e7fd2af53,meet,,2024-04-08 21:39:44 UTC,2024-04-08 22:00:05 UTC,0:20:21,,PARTICIPATED,,,2024-04-09 03:09:44 IST,False,2024-04-09 03:30:05 IST,False
100000000001,328fa2f5-4cf4-49a5-8465-863275c93f84,conf_07fda50067464b14b921dcee5a1a4ced,meet:meeting,tcj-dshy-pxs,,thread_328fa2f5-4cf4-49a5-8465-863275c93f84,meet,,2024-04-17 19:31:20 UTC,2024-04-17 20:13:54 UTC,0:42:34,,PARTICIPATED,,,2024-04-18 01:01:20 IST,False,2024-04-18 01:43:54 IST,False
100000000001,4d9f8a04-983f-4b0f-94ea-0e951e0df5ef,conf_2d2d1c8802b04496a779795252c55abb,meet:meeting,rst-uvwx-yza,,thread_4d9f8a04-983f-4b0f-94ea-0e951e0df5ef,meet,,2024-04-25 20:17:12 UTC,2024-04-25 21:00:36 UTC,0:43:24,,PARTICIPATED,,,2024-04-26 01:47:12 IST,False,2024-04-26 02:30:36 IST,False
100000000001,acc8d700-fb30-45e4-b0be-bc32713c26a0,conf_071c23a089ff409991ce02388fe9193e,meet:meeting,rst-uvwx-yza,,thread_acc8d700-fb30-45e4-b0be-bc32713c26a0,meet,,2024-05-05 15:09:53 UTC,2024-05-05 15:45:17 UTC,0:35:24,,PARTICIPATED,,,2024-05-05 20:39:53 IST,False,2024-05-05 21:15:17 IST,False
