com.samsung.shealth.step_daily_trend,6320001,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
7f59e337-f78a-4fbc-87dd-f6baf9c14424.binning_data.json,2023-01-01 23:59:00.000,2023-01-01 23:59:00.000,com.sec.android.app.shealth,0,4826,1.4019,3474.72,202.69,sampleDeviceID,com.sec.android.app.shealth,7f59e337-f78a-4fbc-87dd-f6baf9c14424,1672531200000,
0cb56066-da3e-4c12-8f09-8c1cc416d15d.binning_data.json,2023-01-02 23:59:00.000,2023-01-02 23:59:00.000,com.sec.android.app.shealth,0,9828,1.3383,7076.16,412.78,sampleDeviceID,com.sec.android.app.shealth,0cb56066-da3e-4c12-8f09-8c1cc416d15d,1672617600000,
9052c346-5236-4689-a001-e3be2ce6e402.binning_data.json,2023-01-03 23:59:00.000,2023-01-03 23:59:00.000,com.sec.android.app.shealth,0,5667,1.2649,4080.24,238.01,sampleDeviceID,com.sec.android.app.shealth,9052c346-5236-4689-a001-e3be2ce6e402,1672704000000,
8703cc9c-3862-4f93-8a68-1e435bb9b23d.binning_data.json,2023-01-04 23:59:00.000,2023-01-04 23:59:00.000,com.sec.android.app.shealth,0,7520,1.4573,5414.4,315.84,sampleDeviceID,com.sec.android.app.shealth,8703cc9c-3862-4f93-8a68-1e435bb9b23d,1672790400000,
440d6aab-918f-4f84-99bb-ffc6b64b9997.binning_data.json,2023-01-05 23:59:00.000,2023-01-05 23:59:00.000,com.sec.android.app.shealth,0,8484,1.4367,6108.48,356.33,sampleDeviceID,com.sec.android.app.shealth,440d6aab-918f-4f84-99bb-ffc6b64b9997,1672876800000,
7ee6f655-e6dd-4347-ac07-24e24c796a31.binning_data.json,2023-01-06 23:59:00.000,2023-01-06 23:59:00.000,com.sec.android.app.shealth,0,7317,1.3011,5268.24,307.31,sampleDeviceID,com.sec.android.app.shealth,7ee6f655-e6dd-4347-ac07-24e24c796a31,1672963200000,
ae35fe98-baf0-425d-a562-c76b6ce3a1c3.binning_data.json,2023-01-07 23:59:00.000,2023-01-07 23:59:00.000,com.sec.android.app.shealth,0,11124,1.3138,8009.28,467.21,sampleDeviceID,com.sec.android.app.shealth,ae35fe98-baf0-425d-a562-c76b6ce3a1c3,1673049600000,
4e546e00-37b3-4a95-9b2a-d243826d20ee.binning_data.json,2023-01-08 23:59:00.000,2023-01-08 23:59:00.000,com.sec.android.app.shealth,0,8601,1.4396,6192.72,361.24,sampleDeviceID,com.sec.android.app.shealth,4e546e00-37b3-4a95-9b2a-d243826d20ee,1673136000000,
81aec3dc-e470-40c4-84b4-4c81f96d48b3.binning_data.json,2023-01-09 23:59:00.000,2023-01-09 23:59:00.000,com.sec.android.app.shealth,0,7937,1.4302,5714.64,333.35,sampleDeviceID,com.sec.android.app.shealth,81aec3dc-e470-40c4-84b4-4c81f96d48b3,1673222400000,
3d4dc39a-30c9-427d-bfc2-ed70223c0ff4.binning_data.json,2023-01-10 23:59:00.000,2023-01-10 23:59:00.000,com.sec.android.app.shealth,0,10453,1.4846,7526.16,439.03,sampleDeviceID,com.sec.android.app.shealth,3d4dc39a-30c9-427d-bfc2-ed70223c0ff4,1673308800000,
